風間浦, 3909, -639
佐井, 3906, -637
三戸, 3916, -608
五戸, 3916, -610
田子, 3912, -605
南部, 966, 338
階上, 3924, -608
新郷, 3912, -608
盛岡, 3912, -586
宮古, 3930, -584
大船渡, 3925, -568
花巻, 3911, -577
北上, 3911, -574
久慈, 3926, -600
遠野, 3921, -575
一関, 3911, -563
陸前高田, 3923, -566
釜石, 3929, -573
二戸, 3915, -603
八幡平, 3911, -592
奥州, 3912, -569
岩手, 3914, -582
雫石, 3908, -586
葛巻, 3919, -596
滝沢, 3911, -588
紫波, 3912, -582
矢巾, 3912, -583
和賀, 3903, -576
西和賀, 3903, -576
胆沢, 3911, -571
金ケ崎, 3911, -571
西磐井, 3911, -565
平泉, 3911, -565
東磐井, 3916, -561
藤沢, 3874, -461
気仙, 3922, -570
住田, 3922, -570
上閉伊, 3929, -576
大槌, 3929, -576
下閉伊, 3928, -585
山田, 3784, -446
岩泉, 3927, -590
田野畑, 3930, -593
普代, 3929, -595
川井, 3922, -583
九戸, 3922, -603
軽米, 3919, -604
野田, 3783, -443
洋野, 3924, -605
一戸, 3915, -601
仙台市, 3906, -543
青葉, 3875, -467
宮城野, 3907, -544
若林, 3907, -543
太白, 3905, -542
泉, 3896, -530
石巻, 3915, -549
塩竈, 3909, -545
気仙沼, 3921, -563
名取, 3906, -541
角田, 3904, -535
多賀城, 3909, -545
岩沼, 3906, -539
登米, 3913, -556
栗原, 3909, -557
東松島, 3913, -548
大崎, 3810, -499
刈田, 3899, -538
蔵王, 3900, -539
七ケ宿, 3895, -536
柴田, 3903, -538
大河原, 3902, -538
村田, 3902, -539
川崎, 3677, -413
伊具, 3903, -533
丸森, 3903, -533
亘理, 3906, -537
山元, 3906, -535
宮城, 3907, -550
松島, 3910, -547
七ヶ浜, 3910, -545
利府, 3908, -546
黒川, 3906, -548
大和, 3874, -464
大郷, 3909, -548
富谷, 3906, -547
大衡, 3906, -550
加美, 3905, -553
色麻, 3905, -552
遠田, 3911, -552
涌谷, 3912, -552
美里, 3910, -552
牡鹿, 3919, -549
女川, 3919, -549
本吉, 3920, -557
南三陸, 3919, -556
秋田, 3893, -599
能代, 3886, -601
横手, 3898, -574
大館, 3899, -603
男鹿, 3882, -591
湯沢, 3897, -570
鹿角, 3904, -601
由利本荘, 3887, -577
潟上, 3886, -591
大仙, 3897, -578
北秋田, 3894, -601
にかほ, 3884, -571
仙北, 3902, -586
小坂, 3903, -604
上小阿仁, 3892, -596
山本, 3658, -407
藤里, 3892, -603
三種, 3887, -597
八峰, 3886, -605
南秋田, 3888, -593
五城目, 3889, -593
八郎潟, 3886, -592
井川, 3845, -457
大潟, 3885, -595
美郷, 3717, -452
雄勝, 3896, -571
羽後, 3895, -571
東成瀬, 3901, -570
山形, 3889, -552
米沢, 3889, -534
鶴岡, 3882, -557
酒田, 3882, -563
新庄, 3809, -493
寒河江, 3892, -547
上山, 3892, -540
村山, 3894, -550
長井, 3887, -539
天童, 3894, -547
東根, 3895, -549
尾花沢, 3895, -554
南陽, 3261, -396
東村山, 3874, -472
山辺, 3892, -545
中山, 3280, -126
西村山, 3891, -548
河北, 3811, -498
西川, 3104, -447
朝日, 3806, -492
大江, 3816, -454
北村山, 3894, -553
大石田, 3894, -553
最上, 3893, -559
金山, 3884, -512
舟形, 3893, -556
真室川, 3892, -562
大蔵, 3890, -555
鮭川, 3891, -560
戸沢, 3889, -558
東置賜, 3889, -536
高畠, 3890, -536
川西, 3781, -446
西置賜, 3885, -539
小国, 3880, -538
白鷹, 3888, -541
飯豊, 3885, -537
東田川, 3884, -560
三川, 3882, -559
庄内, 3884, -560
飽海, 3883, -566
遊佐, 3883, -566
会津若松, 3884, -522
郡山, 3894, -519
いわき, 3788, -438
白河, 3891, -511
須賀川, 3894, -516
喜多方, 3883, -526
相馬, 3907, -530
二本松, 3896, -524
田, 3836, -466
南相馬, 3908, -526
本宮, 3895, -522
桑折, 3898, -532
国見, 3898, -533
川俣, 3899, -526
安達, 3896, -525
大玉, 3894, -523
岩瀬, 3892, -515
鏡石, 3894, -515
天栄, 3890, -515
南会津, 3878, -513
下郷, 3883, -515
檜枝岐, 3872, -508
只見, 3871, -517
耶麻, 3886, -524
北塩原, 3887, -527
西会津, 3878, -525
磐梯, 3886, -524
猪苗代, 3888, -524
河沼, 3881, -523
会津坂下, 3882, -523
湯川, 3883, -524
柳津, 3879, -522
大沼, 3880, -520
三島, 3861, -454
昭和, 3879, -465
会津美里, 3882, -521
西白河, 3892, -512
西郷, 3889, -511
泉崎, 3893, -512
中島, 3715, -437
矢吹, 3893, -513
東白川, 3895, -507
棚倉, 3895, -508
矢祭, 3895, -504
塙, 3895, -506
鮫川, 3897, -508
石川, 3807, -488
玉川, 3845, -479
平田, 3929, -572
浅川, 3895, -510
古殿, 3898, -510
田村, 3899, -520
三春, 3897, -520
小野, 3771, -447
双葉, 3908, -519
広野, 3908, -514
楢葉, 3909, -515
富岡, 3861, -486
川内, 3665, -364
大熊, 3908, -519
浪江, 3908, -522
葛尾, 3903, -522
新地, 3907, -532
飯舘, 3903, -527
水戸, 3894, -489
日立, 3901, -496
土浦, 3890, -481
古河, 3879, -484
石岡, 3892, -484
結城, 3883, -488
龍ケ崎, 3890, -477
下妻, 3885, -484
常総, 3886, -480
常陸太田, 3898, -494
高萩, 3902, -499
北茨城, 3903, -502
笠間, 3893, -489
取手, 3887, -477
牛久, 3889, -479
つくば, 3888, -481
ひたちなか, 3898, -490
鹿嶋, 3900, -478
潮来, 3898, -478
守谷, 3885, -478
常陸大宮, 3895, -495
那珂, 3899, -492
筑西, 3885, -488
坂東, 3403, -216
稲敷, 3893, -478
かすみがうら, 3893, -482
桜川, 3888, -488
神栖, 3901, -476
行方, 3897, -479
鉾田, 3898, -484
つくばみらい, 3887, -478
小美玉, 3894, -486
東茨城, 3896, -489
茨城, 3890, -485
大洗, 3899, -488
城里, 3894, -493
東海, 3638, -522
大子, 3894, -501
美浦, 3893, -479
阿見, 3891, -480
河内, 3109, -90
八千代, 3888, -471
猿島, 3881, -482
五霞, 3880, -482
境, 3881, -482
北相馬, 3889, -475
利根, 3864, -500
宇都宮, 3883, -495
足利, 3873, -489
栃木, 3882, -498
佐野, 3876, -488
鹿沼, 3880, -495
日光, 3879, -499
小山, 3881, -488
真岡, 3886, -492
大田原, 3886, -504
矢板, 3884, -502
那須塩原, 3886, -505
さくら, 3891, -471
那須烏山, 3889, -498
下野, 3882, -490
上三川, 3884, -491
上都賀, 3880, -492
西方, 323, 96
芳賀, 3888, -493
益子, 3888, -492
茂木, 3890, -494
市貝, 3888, -494
下都賀, 3880, -489
壬生, 3882, -492
野木, 3880, -486
大平, 3879, -489
藤岡, 3865, -486
岩舟, 3878, -488
都賀, 3880, -491
塩谷, 3884, -498
